"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Cost","Sale Price","Margin"
"210000002397","681706040509","","https://www.usedgames.ca/archaeology-the-card-game-nis-2007.html?source=bgg","31105","Archaeology: The Card Game (2007) (NIS)","1","$0.01","$0.01","$49.95","99.98%"
"210000002398","","","https://www.usedgames.ca/escape-from-atlantis-parts-only-1986.html?source=bgg","24037","Escape from Atlantis (1986) (Parts Only)","1","$0.01","$0.01","$24.95","99.96%"
"210000002399","841333107224","","https://www.usedgames.ca/pandemic-10th-anniversary-edition-painted-figures.html","30549","Pandemic: 10th Anniversary Edition ─ Painted Figures NIS (2018)","1","$0.01","$0.01","$74.95","99.99%"
"210000002400","03350004356","","","3114","Poleconomy (1977) (used) (Made in 1980)","1","$0.00","$0.00","$34.95","100%"
"210000002401","","","https://www.usedgames.ca/emperor-of-china-used-board-game-1972.html?source=bgg","1987","Emperor of China (1972) (used)","1","$0.01","$0.01","$9.95","99.9%"
"210000002402","","","https://www.usedgames.ca/multiopsony-used-board-game-est-1972.html","none","Multiopsony (1972) (used)","1","$0.01","$0.01","$64.95","99.98%"
"210000002403","","","https://www.usedgames.ca/break-the-bank-series-2-used-board-game-est-1960.html","5600","Break the Bank (1955)  (Series 2) (Used) (1960 est.) (R)","1","$0.01","$0.01","$19.95","99.95%"
"210000002409","8594156310523","","https://www.usedgames.ca/letter-jam-used-board-game-2019-hidden.html","275467","Letter Jam Used Board Game (2019)","1","$4.00","$4.00","$14.95","73.24%"
"210000002412","","","https://www.usedgames.ca/copy-of-scrabble-folio-edition-used-board-game-200.html","320","Scrabble (1948) (Folio Edition) (Used) (Grey)","1","$2.00","$2.00","$14.95","86.62%"
"210000002413","","","","","3 Lane  Wooden Cribbage Boards  with pegs Bundle of 10","1","$50.00","$50.00","$95.00","47.37%"
"210000002414","704551042006","","https://www.usedgames.ca/the-racing-horse-game-board-only-2006.html?source=bgg","93039","The Racing Horse Game (2006) (used)","1","$0.01","$0.01","$29.95","99.97%"
"210000002415","","","https://www.usedgames.ca/the-racing-horse-game-board-only-2006.html","93039","The Racing Horse Game (2006) (Board only) (used)","1","$0.01","$0.01","$14.95","99.93%"
"210000002416","772603020074","","https://www.usedgames.ca/fc-strategy-the-ultimate-soccer-board-game-nis-200.html","none","FC Strategy® The Ultimate Soccer Board  Game (2006) (NIS)","1","$6.00","$6.00","$39.95","84.98%"
"210000002418","069545405006","","https://www.usedgames.ca/copy-of-polarity-used-board-game-2006-a-66704561.html?source=bgg","380","Polarity (1986) (used) (C)","1","$0.01","$0.01","$54.95","99.98%"
"210000002420","069545405008","","https://www.usedgames.ca/copy-of-polarity-used-board-game-1986-c.html?source=bgg","380","Polarity (1986) (used)  (D)","1","$0.01","$0.01","$39.95","99.97%"
"210000002421","401035005002","","https://www.usedgames.ca/dschunke-used-board-game-2002.html?source=bgg","3234","Dschunke (2002) (used) (German edition) (D)","1","$0.01","$0.01","$24.95","99.96%"
"210000002425","401035060223","","https://www.usedgames.ca/copy-of-copy-of-dschunke-used-board-game-2002-germ.html?source=bgg","3234","Dschunke (2002) (used) (German edition) (O)","1","$0.01","$0.01","$24.95","99.96%"
"210000002426","4000826012016","","https://www.usedgames.ca/kreta-used-board-game-2005-german-edition.html?source=bgg","15600","Sardegna (2005) (Kreta) (Used) (German edition) (missing one piece and has 1 extra different piece)","1","$0.01","$0.01","$94.95","99.99%"
"210000002427","653569415626","","https://www.usedgames.ca/the-game-of-scattergories-used-board-game-2009.html?source=bgg","2381","Scattergories (1988)  (Used) (Made in 2009)","1","$3.00","$3.00","$18.95","84.17%"
"210000002428","","","https://www.usedgames.ca/switch-away-used-board-game-1973.html?source=bgg","21656","Switch-away (1973) (used)","1","$2.00","$2.00","$24.95","91.98%"
"210000002429","841333101343","","https://www.usedgames.ca/android-mainframe-used-board-game-2016.html","193557","Android: Mainframe Used Board Game (2016)","1","$0.01","$0.01","$22.95","99.96%"
"210000002431","4005556261178","","https://www.usedgames.ca/scotland-yard-used-board-games2000.html?source=bgg","438","Scotland Yard (1983) (used) (Made in 2000)","1","$0.01","$0.01","$27.95","99.96%"
"210000002433","032244041136","","https://www.usedgames.ca/copy-of-guesstures-1991.html?source=bgg","2379","Guesstures (1990) (Made in 1999) (used)","1","$2.00","$2.00","$19.95","89.97%"
"210000002435","","","https://www.usedgames.ca/flying-hats-used-board-game-1890-est.html?source=bgg","16232","Flying Hats (1890) (used)","1","$0.01","$0.01","$12.95","99.92%"
"210000002436","732253102001","","https://www.usedgames.ca/the-farming-game-20-anniversary-edition-used-board.html?source=bgg","5195","The Farming Game (1979) (20 Anniversary edition) (Used) (Made in 1999)","1","$0.01","$0.01","$34.95","99.97%"
"210000002439","","","https://www.usedgames.ca/canukeena-caper-the-game-of-st-albert-alberta-used.html","none","Canukeena Caper The Game of St Albert Alberta Used Board Game (1985 est.)","1","$0.01","$0.01","$34.95","99.97%"
"210000002440","027084287059","","https://www.usedgames.ca/scene-it-007-nis-2004.html?source=bgg","13767","Scene It? 007 (2004) (NIS)","1","$0.01","$0.01","$19.95","99.95%"
"210000002441","","","https://www.usedgames.ca/franchise-mania-nis-1999.html?source=bgg","30267","Franchise Mania (1999) (NIS)","1","$0.01","$0.01","$19.95","99.95%"
"210000002442","773832222536","","https://www.usedgames.ca/bluffers-beware-used-board-game-1992.html?source=bgg","12242","Bluffers Beware (1992) (used)","1","$0.01","$0.01","$34.95","99.97%"
"210000002443","069545500703","","https://www.usedgames.ca/moneywise-used-board-game-1988.html?source=bgg","19748","Moneywise (1988) (used)","1","$0.01","$0.01","$24.95","99.96%"
"210000002447","70390220202101","","https://www.usedgames.ca/jaunty-jalopies-used-board-game-2002-66764359.html?source=bgg","4267","Jaunty Jalopies (2002) (used)","1","$0.01","$0.01","$19.95","99.95%"
"210000002450","008636200014","","https://www.usedgames.ca/empires-of-the-ancient-world-2000-nis.html?source=bgg","870","Empires of the Ancient World (2000) (NIS)","1","$0.01","$0.01","$84.95","99.99%"
"210000002452","350017230208","","https://www.usedgames.ca/kablamo-used-board-game-2004.html?source=bgg","13121","Kablamo (2004) (used)","1","$0.01","$0.01","$18.95","99.95%"
"210000002453","625012014250","","https://www.usedgames.ca/doodle-pix-used-board-game-2007.html","67165","Doodle Pix (2007) (used)","1","$0.01","$0.01","$22.95","99.96%"
